<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
jaar           | lang           | 0.000195706947125-> 9.998043e-01   | 
lang           | kon            | 0.000393494061427-> 9.996066e-01   | 
kon            | <UNK>          | 0.0144451512024-> 9.856587e-01   | 
<UNK>          | nauwelijks     | 3.16460827889e-05-> 9.999683e-01   | 
nauwelijks     | stappen        | 2.57749597949e-05-> 9.999743e-01   | 
stappen        | </s>           | 0.00823647528887-> 9.917973e-01   | 
</s>           | <s>            | 0.499516665936 -> 6.068239e-01   | 
<s>            | en             | 0.00550170987844-> 9.945134e-01   | 
en             | dat            | 0.00531986169517-> 9.946943e-01   | 
dat            | is             | 0.00725402543321-> 9.927722e-01   | 
is             | in             | 0.0100521743298-> 9.899982e-01   | 
in             | golf           | 5.39824723091e-05-> 9.999460e-01   | 
golf           | een            | 0.0113223688677-> 9.887415e-01   | 
een            | fatale         | 9.93327012111e-06-> 9.999900e-01   | 
fatale         | handicap       | 8.26839641377e-06-> 9.999917e-01   | 
handicap       | aangezien      | 7.47051581129e-06-> 9.999925e-01   | 
aangezien      | één          | 0.000863858265802-> 9.991365e-01   | 
één          | rondje         | 3.55894735549e-05-> 9.999644e-01   | 
rondje         | van            | 0.0307654011995-> 9.697030e-01   | 
van            | achttien       | 4.10447755712e-05-> 9.999589e-01   | 
achttien       | holes          | 1.16475603136e-05-> 9.999884e-01   | 
holes          | makkelijk      | 1.1958531104e-05-> 9.999880e-01   | 
makkelijk      | zeven          | 0.000125244390802-> 9.998748e-01   | 
zeven          | kilometer      | 5.02129478264e-05-> 9.999498e-01   | 
kilometer      | bedraagt       | 2.21976442845e-05-> 9.999778e-01   | 
bedraagt       | en             | 0.00682642031461-> 9.931968e-01   | 
en             | een            | 0.00841472670436-> 9.916206e-01   | 
een            | toernooi       | 9.51962356339e-05-> 9.999048e-01   | 
toernooi       | vier           | 0.000486463366542-> 9.995136e-01   | 
vier           | rondjes        | 1.62836367963e-05-> 9.999837e-01   | 
rondjes        | van            | 0.030365223065 -> 9.700912e-01   | 
van            | achttien       | 4.10974535043e-05-> 9.999589e-01   | 
achttien       | holes          | 1.16629644253e-05-> 9.999883e-01   | 
holes          | </s>           | 0.00840047001839-> 9.916347e-01   | 
</s>           | <s>            | 0.499531656504 -> 6.068148e-01   | 
<s>            | tenzij         | 9.61897421803e-06-> 9.999904e-01   | 
tenzij         | je             | 0.000888069916982-> 9.991123e-01   | 
je             | zoals          | 0.000461875402834-> 9.995382e-01   | 
zoals          | Nick           | 2.91639953502e-05-> 9.999709e-01   | 
Nick           | <UNK>          | 0.0149606000632-> 9.851508e-01   | 
<UNK>          | de             | 0.0674437880516-> 9.347802e-01   | 
de             | cut            | 1.19824981084e-05-> 9.999880e-01   | 
cut            | niet           | 0.0035272189416-> 9.964790e-01   | 
niet           | meer           | 0.00110560271423-> 9.988950e-01   | 
meer           | overleeft      | 1.50931464304e-05-> 9.999849e-01   | 
overleeft      | </s>           | 0.00804669316858-> 9.919856e-01   | 
</s>           | <s>            | 0.49950453639  -> 6.068313e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | kreeg          | 0.000229161887546-> 9.997709e-01   | 
kreeg          | van            | 0.0236719287932-> 9.766061e-01   | 
van            | de             | 0.0675239861012-> 9.347053e-01   | 
de             | Royal          | 1.52806096594e-05-> 9.999847e-01   | 
Royal          | and            | 4.90620950586e-05-> 9.999509e-01   | 
and            | <UNK>          | 0.0144118135795-> 9.856915e-01   | 
<UNK>          | de             | 0.0663645789027-> 9.357896e-01   | 
de             | hoogste        | 1.62493270182e-05-> 9.999837e-01   | 
hoogste        | <UNK>          | 0.0129658691585-> 9.871178e-01   | 
<UNK>          | die            | 0.00352254835889-> 9.964836e-01   | 
die            | huist          | 1.06361439975e-05-> 9.999894e-01   | 
huist          | in             | 0.00922063924372-> 9.908217e-01   | 
in             | het            | 0.00267950887792-> 9.973240e-01   | 
het            | Schotse        | 1.3785434021e-05-> 9.999862e-01   | 
Schotse        | <UNK>          | 0.0133092664182-> 9.867789e-01   | 
<UNK>          | geen           | 0.00199600728229-> 9.980060e-01   | 
geen           | toestemming    | 1.58025013661e-05-> 9.999842e-01   | 
toestemming    | om             | 0.0028592357412-> 9.971448e-01   | 
om             | zich           | 0.00145142141264-> 9.985496e-01   | 
zich           | met            | 0.00468682544306-> 9.953241e-01   | 
met            | een            | 0.0109683452174-> 9.890916e-01   | 
een            | karretje       | 1.02439707916e-05-> 9.999897e-01   | 
karretje       | door           | 0.00205764733255-> 9.979445e-01   | 
door           | de             | 0.0646163374186-> 9.374270e-01   | 
de             | toernooien     | 1.39232161018e-05-> 9.999861e-01   | 
toernooien     | van            | 0.0357832536101-> 9.648494e-01   | 
van            | de             | 0.0649159699678-> 9.371462e-01   | 
de             | Europese       | 0.000347784603946-> 9.996523e-01   | 
Europese       | <UNK>          | 0.0135431876406-> 9.865481e-01   | 
<UNK>          | te             | 0.00698716426268-> 9.930372e-01   | 
te             | verplaatsen    | 9.93904814095e-06-> 9.999900e-01   | 
verplaatsen    | </s>           | 0.00871527474374-> 9.913226e-01   | 
</s>           | <s>            | 0.499477982521 -> 6.068473e-01   | 
<s>            | wat            | 0.00119538267609-> 9.988053e-01   | 
wat            | hij            | 0.00359073700383-> 9.964157e-01   | 
hij            | wel            | 0.000936032272875-> 9.990644e-01   | 
wel            | kreeg          | 0.000255170656601-> 9.997448e-01   | 
kreeg          | was            | 0.00304904673249-> 9.969556e-01   | 
was            | een            | 0.0119492765516-> 9.881218e-01   | 
een            | aanval         | 1.74972356035e-05-> 9.999825e-01   | 
aanval         | van            | 0.0338541269302-> 9.667125e-01   | 
van            | artritis       | 1.19665746752e-05-> 9.999880e-01   | 
artritis       | een            | 0.0106169721112-> 9.894392e-01   | 
een            | aanzet         | 3.57042117685e-05-> 9.999643e-01   | 
aanzet         | tot            | 0.00203689746559-> 9.979652e-01   | 
tot            | <UNK>          | 0.0148498527706-> 9.852599e-01   | 
<UNK>          | een            | 0.01144238282  -> 9.886228e-01   | 
een            | depressie      | 2.44898528763e-05-> 9.999755e-01   | 
depressie      | en             | 0.00678412197158-> 9.932389e-01   | 
en             | een            | 0.00809536501765-> 9.919373e-01   | 
een            | plaatsje       | 1.43408669828e-05-> 9.999856e-01   | 
plaatsje       | in             | 0.00879824534059-> 9.912403e-01   | 
in             | de             | 0.0728761702776-> 9.297159e-01   | 
de             | grauwe         | 1.02338181023e-05-> 9.999897e-01   | 
grauwe         | middenmoot     | 1.19728538266e-05-> 9.999880e-01   | 
middenmoot     | </s>           | 0.00807419791818-> 9.919583e-01   | 
</s>           | <s>            | 0.499471098185 -> 6.068515e-01   | 
<s>            | dat            | 0.012028504163 -> 9.880435e-01   | 
dat            | stelde         | 4.44177057943e-05-> 9.999556e-01   | 
stelde         | een            | 0.010634707287 -> 9.894217e-01   | 
een            | extra          | 2.39298333327e-05-> 9.999761e-01   | 
extra          | probleem       | 3.35861950589e-05-> 9.999664e-01   | 
probleem       | voor           | 0.00378939439543-> 9.962178e-01   | 
voor           | zijn           | 0.0086367065087-> 9.914005e-01   | 
zijn           | landgenoot     | 2.30144087254e-05-> 9.999770e-01   | 
landgenoot     | <UNK>          | 0.013959701173 -> 9.861373e-01   | 
<UNK>          | <UNK>          | 0.0152446497232-> 9.848710e-01   | 
<UNK>          | die            | 0.00362491351552-> 9.963816e-01   | 
die            | twee           | 0.00114558741916-> 9.988551e-01   | 
twee           | jaar           | 0.00128862122074-> 9.987122e-01   | 
jaar           | geleden        | 8.04220399004e-05-> 9.999196e-01   | 
geleden        | captain        | 1.95542706933e-05-> 9.999804e-01   | 
captain        | was            | 0.00291864061728-> 9.970856e-01   | 
was            | van            | 0.0335350558162-> 9.670210e-01   | 
van            | de             | 0.0678083300591-> 9.344395e-01   | 
de             | Europese       | 0.000354437739588-> 9.996457e-01   | 
Europese       | ploeg          | 5.49952528672e-05-> 9.999450e-01   | 
ploeg          | voor           | 0.00369670055807-> 9.963101e-01   | 
voor           | de             | 0.075235389173 -> 9.275251e-01   | 
de             | Ryder          | 1.85568387678e-05-> 9.999815e-01   | 
Ryder          | Cup            | 0.000109814078314-> 9.998902e-01   | 
Cup            | de             | 0.0614290647209-> 9.404197e-01   | 
de             | tweejaarlijkse | 1.16967767099e-05-> 9.999883e-01   | 
tweejaarlijkse | ontmoeting     | 9.0659759735e-06-> 9.999909e-01   | 
ontmoeting     | tussen         | 0.000584051420446-> 9.994161e-01   | 
tussen         | Amerika        | 2.00930662686e-05-> 9.999799e-01   | 
Amerika        | en             | 0.00681843236089-> 9.932048e-01   | 
en             | Europa         | 0.000337151053827-> 9.996629e-01   | 
Europa         | </s>           | 0.00837476272136-> 9.916602e-01   | 
</s>           | <s>            | 0.499501317739 -> 6.068332e-01   | 
<s>            | met            | 0.00375371752307-> 9.962533e-01   | 
met            | voorsprong     | 2.90109510388e-05-> 9.999710e-01   | 
voorsprong     | het            | 0.00262145674787-> 9.973820e-01   | 
het            | belangrijkste  | 2.19610155909e-05-> 9.999781e-01   | 
belangrijkste  | toernooi       | 8.95529155969e-05-> 9.999105e-01   | 
toernooi       | in             | 0.00895702838898-> 9.910830e-01   | 
in             | het            | 0.00269445660524-> 9.973091e-01   | 
het            | internationale | 5.11863800057e-05-> 9.999488e-01   | 
internationale | golf           | 5.90599302086e-05-> 9.999409e-01   | 
golf           | </s>           | 0.00826429948211-> 9.917697e-01   | 
</s>           | <s>            | 0.499494582415 -> 6.068373e-01   | 
<s>            | er             | 0.00666359718889-> 9.933586e-01   | 
er             | wordt          | 0.0013358425349-> 9.986650e-01   | 
wordt          | wisselend      | 1.04963037302e-05-> 9.999895e-01   | 
wisselend      | gespeeld       | 2.23690767598e-05-> 9.999776e-01   | 
gespeeld       | in             | 0.00940851122141-> 9.906356e-01   | 
in             | Europa         | 0.000345969572663-> 9.996541e-01   | 
Europa         | en             | 0.00672630639747-> 9.932963e-01   | 
en             | Amerika        | 2.22926100832e-05-> 9.999777e-01   | 
Amerika        | </s>           | 0.0084286192432-> 9.916068e-01   | 
</s>           | <s>            | 0.499501496553 -> 6.068331e-01   | 
<s>            | in             | 0.0105847110972-> 9.894711e-01   | 
in             | Europa         | 0.000340581609635-> 9.996595e-01   | 
Europa         | is             | 0.0067902142182-> 9.932328e-01   | 
is             | het            | 0.00271784607321-> 9.972858e-01   | 
het            | altijd         | 0.000329904461978-> 9.996701e-01   | 
altijd         | in             | 0.0090740006417-> 9.909670e-01   | 
in             | </s>           | 0.00858798436821-> 9.914488e-01   | 
</s>           | <s>            | 0.499487042427 -> 6.068419e-01   | 
<s>            | Groot-Brittannië| 1.03805632534e-05-> 9.999896e-01   | 
Groot-Brittannië| te             | 0.00384602393024-> 9.961613e-01   | 
te             | doen           | 0.000558794185054-> 9.994414e-01   | 
doen           | behalve        | 2.06455806619e-05-> 9.999794e-01   | 
behalve        | twee           | 0.00114566541743-> 9.988550e-01   | 
twee           | jaar           | 0.00126175873447-> 9.987391e-01   | 
jaar           | geleden        | 8.05145973573e-05-> 9.999195e-01   | 
geleden        | </s>           | 0.00814130716026-> 9.918917e-01   | 
</s>           | <s>            | 0.499507725239 -> 6.068293e-01   | 
<s>            | toen           | 0.000914161442779-> 9.990863e-01   | 
toen           | werd           | 0.00102014571894-> 9.989804e-01   | 
werd           | voor           | 0.00367254135199-> 9.963342e-01   | 
voor           | het            | 0.00282717496157-> 9.971768e-01   | 
het            | eerst          | 7.59345348342e-05-> 9.999241e-01   | 
eerst          | een            | 0.0101163145155-> 9.899347e-01   | 
een            | uitzondering   | 1.21628745546e-05-> 9.999878e-01   | 
uitzondering   | gemaakt        | 5.06825163029e-05-> 9.999493e-01   | 
gemaakt        | en             | 0.00674793682992-> 9.932748e-01   | 
en             | had            | 0.00151489872951-> 9.984862e-01   | 
had            | de             | 0.0658045113087-> 9.363139e-01   | 
de             | Ryder          | 1.85969111044e-05-> 9.999814e-01   | 
Ryder          | Cup            | 0.00010992634634-> 9.998901e-01   | 
Cup            | plaats         | 0.000318199628964-> 9.996818e-01   | 
