input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
dat             | echt            | 6.82855319977   <-> 7.05980014801   || 0
echt            | niet            | 3.1732878685    <-> 3.10632967949   || 1
niet            | meer            | 3.07872724533   <-> 2.77655625343   || 1
meer            | kon             | 4.36266613007   <-> 3.97220206261   || 1
kon             | maken           | 3.71517920494   <-> 3.3891210556    || 1
maken           | </s>            | 0.436169952154  <-> 0.550018668175  || 0
<s>             | van             | 4.73163604736   <-> 4.77144479752   || 0
van             | <UNK>           | 2.64718198776   <-> 2.99004650116   || 0
<UNK>           | werd            | 4.34112453461   <-> 4.73078155518   || 0
werd            | vroeger         | 8.11965942383   <-> 7.68287134171   || 1
vroeger         | toen            | 6.13052177429   <-> 6.0978975296    || 1
toen            | hij             | 3.23204445839   <-> 3.03478360176   || 1
hij             | nog             | 3.83805513382   <-> 4.09578990936   || 0
nog             | de              | 3.46971416473   <-> 3.76555347443   || 0
de              | absolute        | 7.5380191803    <-> 7.25861263275   || 1
absolute        | nummer          | 7.77094221115   <-> 7.03079462051   || 1
nummer          | één           | 2.33119797707   <-> 2.63161420822   || 0
één           | in              | 2.85245013237   <-> 2.81090044975   || 1
in              | de              | 1.11287522316   <-> 1.22139334679   || 0
de              | wereld          | 4.92089366913   <-> 4.8042845726    || 1
wereld          | was             | 3.55531930923   <-> 3.56594991684   || 0
was             | al              | 7.571372509     <-> 6.07213878632   || 1
al              | gezegd          | 7.23127746582   <-> 7.23418521881   || 0
gezegd          | dat             | 1.45478212833   <-> 1.87289214134   || 0
dat             | hij             | 1.68498051167   <-> 2.05866408348   || 0
hij             | de              | 2.54211211205   <-> 2.58116436005   || 0
de              | enige           | 5.28297138214   <-> 4.99170780182   || 1
enige           | speler          | 7.34446716309   <-> 5.70329856873   || 1
speler          | was             | 3.4904088974    <-> 3.18962144852   || 1
was             | die             | 4.71572160721   <-> 4.37105226517   || 1
die             | zijn            | 3.97901916504   <-> 3.79590392113   || 1
zijn            | tweede          | 5.87966632843   <-> 5.35661697388   || 1
tweede          | shot            | 10.6019382477   <-> 10.0485143661   || 1
shot            | van             | 3.33630394936   <-> 3.28539776802   || 1
van             | boven           | 8.78656768799   <-> 8.27934837341   || 1
boven           | in              | 5.84111976624   <-> 5.19743442535   || 1
in              | een             | 2.69019961357   <-> 2.49146986008   || 1
een             | boom            | 7.01494264603   <-> 6.82888507843   || 1
boom            | nam             | 6.5665268898    <-> 6.39195632935   || 1
nam             | zonder          | 6.70452785492   <-> 6.95084095001   || 0
zonder          | erbij           | 9.43959903717   <-> 10.1838035583   || 0
erbij           | stil            | 9.93210697174   <-> 9.42956733704   || 1
stil            | te              | 2.50329089165   <-> 0.381058067083  || 1
te              | staan           | 4.2774105072    <-> 3.7196893692    || 1
staan           | dat             | 4.53684282303   <-> 5.13876152039   || 0
dat             | dit             | 4.95220661163   <-> 5.32793045044   || 0
dit             | niet            | 3.36663889885   <-> 3.89153218269   || 0
niet            | tot             | 4.91780948639   <-> 5.22867584229   || 0
tot             | de              | 1.76237010956   <-> 1.85160589218   || 0
de              | gangbare        | 9.5951499939    <-> 9.93169021606   || 0
gangbare        | praktijken      | 8.79267692566   <-> 8.31675815582   || 1
praktijken      | van             | 1.63214087486   <-> 2.14349246025   || 0
van             | het             | 2.06155490875   <-> 2.2100019455    || 0
het             | spel            | 6.69922637939   <-> 6.03266429901   || 1
spel            | behoorde        | 9.52818775177   <-> 9.12942123413   || 1
behoorde        | </s>            | 0.543139159679  <-> 0.294385403395  || 1
<s>             | <UNK>           | 3.0827832222    <-> 3.1544175148    || 0
<UNK>           | bleef           | 6.94421482086   <-> 7.28609895706   || 0
bleef           | aan             | 4.9990234375    <-> 5.08525276184   || 0
aan             | de              | 1.16116213799   <-> 1.32091081142   || 0
de              | kant            | 4.37982463837   <-> 3.89102363586   || 1
kant            | <UNK>           | 4.54632759094   <-> 4.63257455826   || 0
<UNK>           | kreeg           | 8.75440311432   <-> 8.87479305267   || 0
kreeg           | geen            | 5.12914705276   <-> 5.18005943298   || 0
geen            | wildcard        | 10.75248909     <-> 10.8600664139   || 0
wildcard        | maar            | 3.95719718933   <-> 4.13104915619   || 0
maar            | werd            | 6.05279159546   <-> 5.47164869308   || 1
werd            | in              | 3.48356723785   <-> 2.99612283707   || 1
in              | extremis        | 7.16860675812   <-> 6.82599067688   || 1
extremis        | opgevist        | 9.69465923309   <-> 8.50643920898   || 1
opgevist        | toen            | 4.93844032288   <-> 5.73671674728   || 0
toen            | <UNK>           | 3.30437850952   <-> 3.77499651909   || 0
<UNK>           | Martin          | 8.41296386719   <-> 8.36831569672   || 1
Martin          | met             | 5.25331163406   <-> 5.23936843872   || 1
met             | een             | 2.12282276154   <-> 1.82826578617   || 1
een             | <UNK>           | 1.6595056057    <-> 2.12411570549   || 0
<UNK>           | forfait         | 10.7314691544   <-> 8.81029701233   || 1
forfait         | moest           | 5.25426149368   <-> 4.18308353424   || 1
moest           | geven           | 3.73443984985   <-> 3.48958206177   || 1
geven           | </s>            | 0.567667245865  <-> 0.419335961342  || 1
<s>             | moest           | 9.3926153183    <-> 9.57553958893   || 0
moest           | geven           | 8.29694080353   <-> 9.13474845886   || 0
geven           | was             | 7.05655908585   <-> 6.99233627319   || 1
was             | in              | 3.39161539078   <-> 3.55660057068   || 0
in              | dit             | 4.95792293549   <-> 5.06473827362   || 0
dit             | geval           | 1.41553294659   <-> 0.828812658787  || 1
geval           | letterlijk      | 8.74626922607   <-> 9.57074642181   || 0
letterlijk      | te              | 3.74759531021   <-> 3.32891869545   || 1
te              | nemen           | 5.17365026474   <-> 5.99918174744   || 0
nemen           | want            | 5.99385499954   <-> 5.17542695999   || 1
want            | </s>            | 7.4046163559    <-> 7.70877695084   || 0
<s>             | Martin          | 9.11528873444   <-> 8.57671737671   || 1
Martin          | wou             | 8.00889110565   <-> 8.00287628174   || 1
wou             | spelen          | 7.79764556885   <-> 8.44057846069   || 0
spelen          | weigerde        | 12.1636066437   <-> 12.3171768188   || 0
weigerde        | om              | 4.21898937225   <-> 4.91649389267   || 0
om              | op              | 4.34533691406   <-> 4.01980352402   || 1
op              | bevel           | 9.63782215118   <-> 8.6283121109    || 1
bevel           | van             | 1.67610490322   <-> 2.05996108055   || 0
van             | <UNK>           | 2.75737285614   <-> 3.10731768608   || 0
<UNK>           | zijn            | 6.06721496582   <-> 4.93073511124   || 1
zijn            | <UNK>           | 2.09433269501   <-> 2.25945949554   || 0
<UNK>           | te              | 1.31305861473   <-> 1.51908659935   || 0
te              | bewijzen        | 6.23944950104   <-> 5.76572227478   || 1
bewijzen        | in              | 4.06732082367   <-> 4.23849582672   || 0
in              | een             | 2.16416025162   <-> 2.16029620171   || 1
een             | extra           | 8.36621379852   <-> 7.65960597992   || 1
extra           | rondje          | 9.57614326477   <-> 9.92430019379   || 0
rondje          | werd            | 8.05466747284   <-> 8.35445690155   || 0
werd            | vervolgens      | 9.57224655151   <-> 9.01187992096   || 1
vervolgens      | uit             | 5.36351490021   <-> 5.96556854248   || 0
uit             | het             | 2.16119647026   <-> 1.94508218765   || 1
het             | team            | 7.70497941971   <-> 7.39875507355   || 1
team            | gegooid         | 7.39460325241   <-> 6.76354408264   || 1
gegooid         | en              | 2.88400149345   <-> 3.40415859222   || 0
en              | spande          | 11.507522583    <-> 11.1749286652   || 1
spande          | tevergeefs      | 10.0652046204   <-> 9.39765262604   || 1
tevergeefs      | een             | 2.31139802933   <-> 2.3090569973    || 1
een             | proces          | 7.14386367798   <-> 7.48697423935   || 0
proces          | in              | 2.38359737396   <-> 2.28097867966   || 1
in              | </s>            | 2.49570512772   <-> 2.2938876152    || 1
<s>             | na              | 4.60694599152   <-> 5.48123788834   || 0
na              | deze            | 4.85299110413   <-> 4.30339002609   || 1
deze            | <UNK>           | 2.94057965279   <-> 3.47388792038   || 0
<UNK>           | won             | 7.00161075592   <-> 7.05053710938   || 0
won             | Europa          | 7.86534500122   <-> 7.74780130386   || 1
Europa          | tot             | 5.08980846405   <-> 5.02225875854   || 1
tot             | ieders          | 8.81371688843   <-> 9.02214241028   || 0
ieders          | verrassing      | 7.1627407074    <-> 8.10545635223   || 0
verrassing      | de              | 4.07313966751   <-> 4.01277780533   || 1
de              | Cup             | 12.1335887909   <-> 12.0706176758   || 1
Cup             | </s>            | 1.610886693     <-> 1.67658054829   || 0
<s>             | het             | 2.87401247025   <-> 2.80581140518   || 1
het             | beslissende     | 9.37031745911   <-> 10.7465143204   || 0
beslissende     | punt            | 5.87439775467   <-> 7.26042842865   || 0
punt            | in              | 3.59401774406   <-> 3.78176164627   || 0
in              | <UNK>           | 3.06276369095   <-> 3.19220018387   || 0
<UNK>           | kwam            | 4.50004005432   <-> 4.89315032959   || 0
kwam            | uitgerekend     | 10.2218923569   <-> 10.2701702118   || 0
uitgerekend     | van             | 3.9033741951    <-> 3.96251630783   || 0
van             | de              | 1.26686155796   <-> 1.32951116562   || 0
de              | Duitser         | 6.52094888687   <-> 7.20068454742   || 0
Duitser         | Bernard         | 7.57628440857   <-> 7.08956432343   || 1
Bernard         | </s>            | 5.1005525589    <-> 3.30294919014   || 1
<s>             | langer          | 11.5838766098   <-> 10.6903839111   || 1
langer          | de              | 3.23401546478   <-> 3.4805996418    || 0
de              | man             | 4.89469718933   <-> 5.61854553223   || 0
man             | die             | 3.16710233688   <-> 2.66755056381   || 1
