input           | target          | original0       <-> cbow_exp_lstm0  || best model: 0:first, 1:second
de              | rug             | 4.0231180191    <-> 3.39551544189   || 1
rug             | </s>            | 1.79736876488   <-> 1.59050774574   || 1
<s>             | oorzaak         | 10.9862480164   <-> 11.3267183304   || 0
oorzaak         | van             | 1.23921585083   <-> 0.696823477745  || 1
van             | dat             | 5.88789463043   <-> 5.15501976013   || 1
dat             | alles           | 6.07289457321   <-> 5.95849227905   || 1
alles           | </s>            | 3.31787180901   <-> 2.75243926048   || 1
<s>             | zijn            | 4.86222267151   <-> 5.11037254333   || 0
zijn            | tenen           | 9.11949157715   <-> 9.68573188782   || 0
tenen           | </s>            | 3.08282756805   <-> 3.11855340004   || 0
<s>             | men             | 7.49837970734   <-> 6.9875831604    || 1
men             | kan             | 3.64465641975   <-> 3.69646549225   || 0
kan             | het             | 3.37154746056   <-> 3.31403493881   || 1
het             | vanuit          | 8.68105888367   <-> 8.50866794586   || 1
vanuit          | twee            | 5.1534781456    <-> 5.15960884094   || 0
twee            | <UNK>           | 3.66102862358   <-> 3.89555621147   || 0
<UNK>           | bekijken        | 7.01997327805   <-> 6.73439598083   || 1
bekijken        | </s>            | 0.552473366261  <-> 0.766187310219  || 0
<s>             | een             | 3.50027704239   <-> 3.50250601768   || 0
een             | van             | 4.11967134476   <-> 4.33685064316   || 0
van             | de              | 0.940377354622  <-> 0.780300080776  || 1
de              | tenen           | 10.7287874222   <-> 9.97206401825   || 1
tenen           | van             | 2.00223374367   <-> 1.14963519573   || 1
van             | zijn            | 3.77207994461   <-> 3.88542342186   || 0
zijn            | rechtervoet     | 11.2749834061   <-> 10.4899349213   || 1
rechtervoet     | was             | 3.66857767105   <-> 3.98627734184   || 0
was             | te              | 5.67240715027   <-> 5.05248737335   || 1
te              | lang            | 4.99927330017   <-> 4.86099386215   || 1
lang            | of              | 5.59437513351   <-> 5.68635034561   || 0
of              | vier            | 7.47712755203   <-> 7.6887845993    || 0
vier            | van             | 4.3149356842    <-> 3.89440393448   || 1
van             | de              | 1.27140808105   <-> 1.34788274765   || 0
de              | tenen           | 10.322353363    <-> 10.2230081558   || 1
tenen           | van             | 2.13400411606   <-> 1.34619343281   || 1
van             | zijn            | 3.8205575943    <-> 4.03542900085   || 0
zijn            | rechtervoet     | 11.2796344757   <-> 10.1899080276   || 1
rechtervoet     | waren           | 9.05664253235   <-> 7.82479858398   || 1
waren           | te              | 4.88770866394   <-> 4.87888813019   || 1
te              | kort            | 6.2590970993    <-> 4.99919319153   || 1
kort            | </s>            | 1.10241448879   <-> 1.09846162796   || 1
<s>             | dit             | 5.53546714783   <-> 5.49665546417   || 1
dit             | lijkt           | 4.63207244873   <-> 5.14909410477   || 0
lijkt           | hetzelfde       | 7.87753915787   <-> 8.04403686523   || 0
hetzelfde       | maar            | 3.6200928688    <-> 3.77655673027   || 0
maar            | is              | 4.78546905518   <-> 4.20112228394   || 1
is              | het             | 2.25560092926   <-> 2.79689073563   || 0
het             | niet            | 2.51742172241   <-> 3.18679857254   || 0
niet            | </s>            | 2.34264969826   <-> 2.28209161758   || 1
<s>             | in              | 3.40923929214   <-> 3.40477061272   || 1
in              | de              | 1.16503989697   <-> 1.17479252815   || 0
de              | eerste          | 3.17881178856   <-> 2.55590844154   || 1
eerste          | optiek          | 11.1943473816   <-> 11.1026115417   || 1
optiek          | opereert        | 11.5267019272   <-> 11.9486370087   || 0
opereert        | men             | 5.56022930145   <-> 4.74550199509   || 1
men             | één           | 6.65780067444   <-> 6.21381378174   || 1
één           | teen            | 10.4026517868   <-> 11.4970874786   || 0
teen            | door            | 5.07860326767   <-> 4.78207588196   || 1
door            | er              | 7.14582252502   <-> 6.93258619308   || 1
er              | een             | 2.9222240448    <-> 2.61286735535   || 1
een             | stuk            | 5.26984500885   <-> 5.45690345764   || 0
stuk            | af              | 5.36290454865   <-> 5.1942615509    || 1
af              | te              | 1.67568981647   <-> 2.50182962418   || 0
te              | zagen           | 9.119181633     <-> 9.13954734802   || 0
zagen           | </s>            | 0.650932133198  <-> 0.779510736465  || 0
<s>             | in              | 3.03750514984   <-> 3.21616172791   || 0
in              | de              | 1.14108252525   <-> 1.22641015053   || 0
de              | tweede          | 4.26096630096   <-> 3.93778538704   || 1
tweede          | optiek          | 11.6724462509   <-> 11.5567712784   || 1
optiek          | opereert        | 11.3934106827   <-> 12.1782331467   || 0
opereert        | men             | 5.81659555435   <-> 4.90019464493   || 1
men             | vier            | 6.95865058899   <-> 6.90062904358   || 1
vier            | tenen           | 12.0229635239   <-> 11.3530483246   || 1
tenen           | door            | 5.187541008     <-> 5.17881965637   || 1
door            | er              | 7.41223430634   <-> 6.7453379631    || 1
er              | een             | 3.07904195786   <-> 2.52959656715   || 1
een             | stuk            | 5.28120613098   <-> 5.4863524437    || 0
stuk            | bij             | 5.10493755341   <-> 4.4977145195    || 1
bij             | te              | 3.71422767639   <-> 3.83854866028   || 0
te              | kleven          | 8.82188415527   <-> 8.77694606781   || 1
kleven          | </s>            | 0.454741954803  <-> 0.62653273344   || 0
<s>             | als             | 3.98150634766   <-> 4.26411724091   || 0
als             | het             | 2.70615673065   <-> 2.69452571869   || 1
het             | kan             | 6.41368293762   <-> 6.34857654572   || 1
kan             | voor            | 4.57471942902   <-> 5.26999568939   || 0
voor            | het             | 2.15823698044   <-> 2.16328072548   || 0
het             | ding            | 8.94631958008   <-> 8.81911277771   || 1
ding            | dan             | 5.43412685394   <-> 5.00055599213   || 1
dan             | ook             | 3.87766432762   <-> 3.36222338676   || 1
ook             | voor            | 4.75838756561   <-> 4.31886196136   || 1
voor            | tenen           | 12.3216514587   <-> 12.7468729019   || 0
tenen           | </s>            | 3.27903366089   <-> 1.66659355164   || 1
<s>             | <UNK>           | 3.1929666996    <-> 3.0536403656    || 1
<UNK>           | koos            | 7.90973186493   <-> 8.10475730896   || 0
koos            | voor            | 3.4993159771    <-> 2.40086007118   || 1
voor            | de              | 1.42037582397   <-> 1.44717383385   || 0
de              | eerste          | 4.25582313538   <-> 4.0043721199    || 1
eerste          | methode         | 8.60768318176   <-> 8.83608150482   || 0
methode         | en              | 3.47983551025   <-> 3.37630963326   || 1
en              | dacht           | 8.16986274719   <-> 9.23547935486   || 0
dacht           | dit             | 5.56470966339   <-> 5.39356708527   || 1
dit             | in              | 3.65505003929   <-> 4.36521053314   || 0
in              | het             | 2.03658986092   <-> 1.91497886181   || 1
het             | tussenseizoen   | 9.01055335999   <-> 7.87513256073   || 1
tussenseizoen   | gauw            | 10.6746387482   <-> 10.3272647858   || 1
gauw            | even            | 5.67351341248   <-> 5.49184513092   || 1
even            | te              | 3.6081867218    <-> 2.81118178368   || 1
te              | laten           | 4.67908477783   <-> 4.49005889893   || 1
laten           | <UNK>           | 4.26268625259   <-> 4.59717464447   || 0
<UNK>           | </s>            | 0.712673485279  <-> 0.460102885962  || 1
<s>             | weekje          | 15.2415599823   <-> 13.9166631699   || 1
weekje          | of              | 5.96307420731   <-> 6.15510749817   || 0
of              | drie            | 6.4215927124    <-> 6.53451442719   || 0
drie            | inactiviteit    | 11.9630355835   <-> 11.9950141907   || 0
inactiviteit    | had             | 5.67290353775   <-> 4.62224197388   || 1
had             | de              | 2.14886856079   <-> 1.81981658936   || 1
de              | chirurg         | 9.77689266205   <-> 10.1489248276   || 0
chirurg         | hem             | 5.53137207031   <-> 4.72937011719   || 1
hem             | verteld         | 6.60745477676   <-> 7.09414291382   || 0
verteld         | </s>            | 0.893388807774  <-> 1.03710901737   || 0
<s>             | het             | 2.85978198051   <-> 3.07717347145   || 0
het             | optimisme       | 9.66396617889   <-> 9.49732971191   || 1
optimisme       | van             | 1.64461064339   <-> 1.73355352879   || 0
van             | de              | 1.09189653397   <-> 1.36800384521   || 0
de              | chirurg         | 9.99074363708   <-> 9.76436805725   || 1
chirurg         | wordt           | 4.43412303925   <-> 4.86426210403   || 0
wordt           | veeleer         | 8.63830375671   <-> 8.39282035828   || 1
veeleer         | bepaald         | 6.72909593582   <-> 6.76141166687   || 0
bepaald         | door            | 3.05246257782   <-> 1.84020340443   || 1
door            | de              | 1.19689846039   <-> 1.23316252232   || 0
de              | stand           | 8.2211265564    <-> 7.90712118149   || 1
stand           | van             | 1.04443573952   <-> 1.02101075649   || 1
van             | zijn            | 3.64379262924   <-> 3.69912266731   || 0
zijn            | bankrekening    | 8.82584190369   <-> 9.22149848938   || 0
bankrekening    | dan             | 5.72494316101   <-> 6.24831628799   || 0
dan             | door            | 5.50315237045   <-> 5.32739400864   || 1
door            | wetenschappelijk | 10.2699899673   <-> 10.2488918304   || 1
wetenschappelijk | verantwoorde    | 8.2510061264    <-> 5.87584209442   || 1
verantwoorde    | verwachtingen   | 8.39348983765   <-> 7.59703826904   || 1
verwachtingen   | </s>            | 0.666661798954  <-> 0.654894709587  || 1
<s>             | twee            | 6.33663082123   <-> 6.45766639709   || 0
twee            | jaar            | 2.46537542343   <-> 2.64279317856   || 0
jaar            | lang            | 4.38011455536   <-> 3.71895837784   || 1
lang            | kon             | 5.45491123199   <-> 5.8280248642    || 0
kon             | <UNK>           | 4.39452934265   <-> 3.62324309349   || 1
<UNK>           | nauwelijks      | 7.945977211     <-> 7.52688550949   || 1
nauwelijks      | stappen         | 7.94340705872   <-> 8.86701774597   || 0
